Year,GDP ($),GDP per cap ($),Pop,Pop. change,Inflation (%)_x,Imports ($B)_x,Exports ($B)_x,Unemployment Rate (%)_x
2010,1680000000000.0,1357,1240000000.0,1.5,10.5,450,375,8.3
2011,1820000000000.0,1458,1260000000.0,1.5,9.5,567,447,8.2
2012,1830000000000.0,1444,1270000000.0,1.4,9.3,571,448,8.1
2013,1860000000000.0,1405,1290000000.0,1.3,11.1,528,472,8.0
2014,2040000000000.0,1490,1310000000.0,1.3,6.7,529,468,8.0
2015,2100000000000.0,1590,1320000000.0,1.2,4.9,465,417,7.9
2016,2290000000000.0,1701,1340000000.0,1.2,4.95,480,440,7.8
2017,2650000000000.0,1796,1350000000.0,1.2,3.33,582,498,7.7
2018,2700000000000.0,1891,1370000000.0,1.1,3.94,640,539,7.7
2019,2830000000000.0,1944,1380000000.0,1.1,3.73,602,529,6.5
2020,2670000000000.0,1814,1400000000.0,1.0,6.62,510,500,10.2
2021,3150000000000.0,1962,1410000000.0,0.9,5.13,761,678,7.7
2022,3390000000000.0,2085,1420000000.0,0.8,6.7,911,760,7.3
